# Malcom first Results

instruction memory footprint = ins.ret_size + ins.size (debatable)

Training algorithm: KNN (k=1 for the moment)
For all similar instructions find the one with the min distance

fname: method name (thetaselect, join, ...)
Similarity(i1,i2): i1.fname == i2.fname and i1.nargs == i2.nargs ELSE return NOT FOUND

Distance metric(i1,i2): sum( abs(i1.arg[i]-i2.arg[i] ) for i in 0..nargs )

Benchmark: tpch queries 1-22

Setup1: random 90/10 split in train-test sets:

############################ RESULTS ###########################################

actual: the bytes the instruction used
pred: the bytes the kNN predicts based on the most similar instruction

perc: 100 * pred / actual (100 is best case)

ntrain: 1127 ntest: 128

method: join                 nargs:  6 actual:    1872235 pred:   11682067 perc:        624
method: join                 nargs:  6 actual:   26092928 pred:   26092928 perc:        100
method: join                 nargs:  6 actual:    1600000 pred:     938480 perc:         59
method: join                 nargs:  6 actual:         17 pred:      64784 perc:     381082
method: join                 nargs:  6 actual:      71680 pred:    1379264 perc:       1924
method: join                 nargs:  6 actual:      34944 pred:         80 perc:          0
method: ==                   nargs:  2 actual:      24254 pred:       6351 perc:         26
method: ==                   nargs:  2 actual:      98107 pred:      98107 perc:        100
method: subgroupdone         nargs:  2 actual:     466984 pred:      44928 perc:         10
method: subgroupdone         nargs:  2 actual:    9936163 pred:   28474249 perc:        287
method: mergecand            nargs:  2 actual:     892608 pred:     872216 perc:         98
method: mergecand            nargs:  2 actual:    1780249 pred:    1918425 perc:        108
method: mergecand            nargs:  2 actual:      86400 pred:      72288 perc:         84
method: mergecand            nargs:  2 actual:     100624 pred:     115192 perc:        114
method: mergecand            nargs:  2 actual:     143264 pred:     129176 perc:         90
method: mergecand            nargs:  2 actual:   17135248 pred:   17135248 perc:        100
method: mergecand            nargs:  2 actual:       1368 pred:          0 perc:          0
method: mergecand            nargs:  2 actual:      15408 pred:      15552 perc:        101
method: mergecand            nargs:  2 actual:       7704 pred:       9808 perc:        127
method: addmonths            nargs:  2 actual:          0 pred:          0
method: addmonths            nargs:  2 actual:          0 pred:          0
method: -                    nargs:  2 actual:       9072 pred:     194032 perc:       2139
method: firstn               nargs:  6 actual:        160 pred:         80 perc:         50
method: firstn               nargs:  4 actual:       1600 pred:       2656 perc:        166
method: ifthenelse           nargs:  3 actual:     388064 pred:      24254 perc:          6
method: thetaselect          nargs:  4 actual:  473141100 pred:  258674228 perc:         55
method: thetaselect          nargs:  4 actual:      14296 pred:      14792 perc:        103
method: thetaselect          nargs:  4 actual:      14552 pred:      14792 perc:        102
method: thetaselect          nargs:  4 actual:       5328 pred:       5128 perc:         96
method: thetaselect          nargs:  4 actual:       5024 pred:       4784 perc:         95
method: thetaselect          nargs:  4 actual:     435437 pred:     436261 perc:        100
method: /                    nargs:  2 actual:         32 pred:          0 perc:          0
method: /                    nargs:  2 actual:          0 pred:          0
method: select               nargs:  7 actual:   36460161 pred:   18207409 perc:         50
method: select               nargs:  7 actual:       4648 pred:       3056 perc:         66
method: select               nargs:  6 actual:  303434841 pred:  303434841 perc:        100
method: select               nargs:  6 actual:   23443067 pred:   14803898 perc:         63
method: subavg               nargs:  5 actual:     491109 pred:        934 perc:          0
method: *                    nargs:  2 actual:      18144 pred:          0 perc:          0
method: year                 nargs:  1 actual:   13046464 pred:     233460 perc:          2
method: subcount             nargs:  4 actual:        934 pred:   12000186 perc:    1284816
method: subcount             nargs:  4 actual:     222733 pred:         48 perc:          0
method: projection           nargs:  2 actual:  473141780 pred:  473141780 perc:        100
method: projection           nargs:  2 actual:     400000 pred:     400000 perc:        100
